"Date","Product_ID","Unit","Stock","Min_stock_level","Closing_Stock","Product_Name"
"11/1/2024","P-0001","szt.","210","42","193","HP Laptops Model 298"
"11/1/2024","P-0002","op.","263","29","254","Navigator Paper 643 op."
"11/1/2024","P-0003","op.","228","129","220","Papyrus Paper Model 522"
"11/1/2024","P-0004","szt.","133","54","125","Bosch Tools Model 429"
"11/1/2024","P-0005","szt.","5","81","148","Uvex Safety glasses 779"
"11/1/2024","P-0006","szt.","599","90","565","Siemens Sensors Model 208"
"11/1/2024","P-0007","szt.","103","61","98","Samsung Monitors Model 944"
"11/1/2024","P-0008","szt.","225","104","167","SKF Bearings Model 874"
"11/1/2024","P-0009","szt.","149","30","144","Honeywell Safety glasses Model 232"
"11/1/2024","P-0010","szt.","62","117","191","Sachs Engine parts 450"
"11/1/2024","P-0011","L","672","85","625","Total Oils 819L"
"11/1/2024","P-0012","szt.","224","180","220","BIC Pens 163"
"11/1/2024","P-0013","szt.","52","27","50","Honeywell Safety glasses 887"
"11/1/2024","P-0014","szt.","379","62","351","Milwaukee Tools 443"
"11/1/2024","P-0015","szt.","297","50","292","BIC Pens 103"
"11/1/2024","P-0016","szt.","263","21","244","DeWalt Tools 515"
"11/1/2024","P-0017","licencja","44","45","135","Microsoft Software 999"
"11/1/2024","P-0018","szt.","245","16","237","Siemens Motors 796"
"11/1/2024","P-0019","licencja","264","1","253","Adobe Software 759"
"11/1/2024","P-0020","szt.","90","7","85","3M Helmets 338"
"11/1/2024","P-0021","para","31","44","107","Uvex Gloves Model 145"
"11/1/2024","P-0022","para","45","12","44","Honeywell Gloves Model 259"
"11/1/2024","P-0023","szt.","63","2","62","Mahle Filters 477"
"11/1/2024","P-0024","szt.","166","65","164","Xerox Toner 151"
"11/1/2024","P-0025","szt.","175","63","169","BIC Pens Model 740"
"11/1/2024","P-0026","szt.","25","53","94","Gates Engine parts 379"
"11/1/2024","P-0027","szt.","94","50","94","IKEA Office chairs Model 477"
"11/1/2024","P-0028","szt.","344","103","320","Wurth Screws 413"
"11/1/2024","P-0029","szt.","364","12","345","Bosch Engine parts Model 132"
"11/1/2024","P-0030","op.","97","80","205","Xerox Paper 153 op."
"11/1/2024","P-0031","szt.","374","85","355","Portwest Workwear Model 390"
"11/1/2024","P-0032","szt.","117","52","109","Gates Engine parts Model 115"
"11/1/2024","P-0033","szt.","219","84","302","Helly Hansen Workwear Model 267"
"11/1/2024","P-0034","op.","133","49","130","Navigator Paper 836 op."
"11/1/2024","P-0035","szt.","119","24","117","Nowy Styl Office chairs 420"
"11/1/2024","P-0036","szt.","484","3","467","Lenovo Laptops 221"
"11/1/2024","P-0037","szt.","432","79","404","Mann Filters 571"
